,Makanan,Karbohidrat,Protein,Sayur,Pengolahan,Kelas
44,Asem-Asem Daging,Tidak ada,Ayam dan daging,Ya,Rebus atau kukus,15
45,Ayam Woku,Tidak ada,Ayam dan daging,Ya,Rebus atau kukus,15
46,Tongseng Kambing,Tidak ada,Ayam dan daging,Ya,Rebus atau kukus,15
47,Ayam Tuturuga,Tidak ada,Ayam dan daging,Ya,Rebus atau kukus,15
48,Garang Asem Ayam,Tidak ada,Ayam dan daging,Ya,Rebus atau kukus,15
49,Sup Merah,Tidak ada,Ayam dan daging,Ya,Rebus atau kukus,15
50,Tom Yam Ayam,Tidak ada,Ayam dan daging,Ya,Rebus atau kukus,15
51,Shabu Shabu,Tidak ada,Ayam dan daging,Ya,Rebus atau kukus,15
52,Coto Makassar,Tidak ada,Ayam dan daging,Ya,Rebus atau kukus,15
53,Sup Asparagus Krim Ayam,Tidak ada,Ayam dan daging,Ya,Rebus atau kukus,15
54,Usus Goreng Crispy,Tidak ada,Ayam dan daging,Tidak,Goreng atau tumis,9
55,Ceker Rica Rica,Tidak ada,Ayam dan daging,Tidak,Goreng atau tumis,9
56,Ceker Kecap Pedas,Tidak ada,Ayam dan daging,Tidak,Goreng atau tumis,9
57,Ayam Suwir Kecap,Tidak ada,Ayam dan daging,Tidak,Goreng atau tumis,9
58,Daging Goreng,Tidak ada,Ayam dan daging,Tidak,Goreng atau tumis,9
59,Ayam Goreng Madu,Tidak ada,Ayam dan daging,Tidak,Goreng atau tumis,9
60,Ayam Geprek Keju,Tidak ada,Ayam dan daging,Tidak,Goreng atau tumis,9
61,Tangsuyuk Sapi,Tidak ada,Ayam dan daging,Tidak,Goreng atau tumis,9
62,Korean Spicy Chicken,Tidak ada,Ayam dan daging,Tidak,Goreng atau tumis,9
63,Lidah Sapi Cabe hijau,Tidak ada,Ayam dan daging,Tidak,Goreng atau tumis,9
64,Ayam Goreng Sasando,Tidak ada,Ayam dan daging,Tidak,Goreng atau tumis,9
65,Ayam Saus Inggris,Tidak ada,Ayam dan daging,Tidak,Goreng atau tumis,9
66,Ayam Tangkap,Tidak ada,Ayam dan daging,Tidak,Goreng atau tumis,9
67,Ayam Goreng Bawang,Tidak ada,Ayam dan daging,Tidak,Goreng atau tumis,9
68,Ayam Goreng Terasi,Tidak ada,Ayam dan daging,Tidak,Goreng atau tumis,9
69,Ayam Suwir Cabe Ijo,Tidak ada,Ayam dan daging,Tidak,Goreng atau tumis,9
70,Dendeng Lambok,Tidak ada,Ayam dan daging,Tidak,Goreng atau tumis,9
71,Ayam Jerit,Tidak ada,Ayam dan daging,Tidak,Goreng atau tumis,9
72,Iga Penyet,Tidak ada,Ayam dan daging,Tidak,Goreng atau tumis,9
73,Sambal Goreng Hati Sapi,Tidak ada,Ayam dan daging,Tidak,Goreng atau tumis,9
74,Ayam Pelalah,Tidak ada,Ayam dan daging,Tidak,Goreng atau tumis,9
75,Krengsengan Daging Sapi,Tidak ada,Ayam dan daging,Tidak,Goreng atau tumis,9
76,Ayam Saus Lemon,Tidak ada,Ayam dan daging,Tidak,Goreng atau tumis,9
77,Ayam Gepuk,Tidak ada,Ayam dan daging,Tidak,Goreng atau tumis,9
78,Ayam Goreng KFC Krispi,Tidak ada,Ayam dan daging,Tidak,Goreng atau tumis,9
79,Ayam Gongso,Tidak ada,Ayam dan daging,Tidak,Goreng atau tumis,9
80,Spicy Chicken Wings (Richeese),Tidak ada,Ayam dan daging,Tidak,Goreng atau tumis,9
81,Paru Goreng,Tidak ada,Ayam dan daging,Tidak,Goreng atau tumis,9
82,Bebek Kaleyo,Tidak ada,Ayam dan daging,Tidak,Goreng atau tumis,9
83,Ayam Wijen Saus Mentega,Tidak ada,Ayam dan daging,Tidak,Goreng atau tumis,9
84,Babat Gongso,Tidak ada,Ayam dan daging,Tidak,Goreng atau tumis,9
85,Ayam Kecap Goreng Mentega,Tidak ada,Ayam dan daging,Tidak,Goreng atau tumis,9
86,Sambal Goreng Krecek,Tidak ada,Ayam dan daging,Tidak,Goreng atau tumis,9
87,Ayam Pok Pok,Tidak ada,Ayam dan daging,Tidak,Goreng atau tumis,9
88,Ayam Geprek (Tanpa Tepung),Tidak ada,Ayam dan daging,Tidak,Goreng atau tumis,9
89,Bulgogi,Tidak ada,Ayam dan daging,Tidak,Goreng atau tumis,9
90,Ayam Penyet,Tidak ada,Ayam dan daging,Tidak,Goreng atau tumis,9
91,Ayam Goreng Tulang Lunak,Tidak ada,Ayam dan daging,Tidak,Goreng atau tumis,9
92,Ayam Goreng Kalasan,Tidak ada,Ayam dan daging,Tidak,Goreng atau tumis,9
93,Ayam Lada Hitam,Tidak ada,Ayam dan daging,Tidak,Goreng atau tumis,9
94,Abon Sapi,Tidak ada,Ayam dan daging,Tidak,Goreng atau tumis,9
95,Ayam Nasu Palekko,Tidak ada,Ayam dan daging,Tidak,Goreng atau tumis,9
96,Ayam Taliwang,Tidak ada,Ayam dan daging,Tidak,Goreng atau tumis,9
97,Sambal Goreng Ati Ampela,Tidak ada,Ayam dan daging,Tidak,Goreng atau tumis,9
98,Ayam Kremes,Tidak ada,Ayam dan daging,Tidak,Goreng atau tumis,9
99,Usus Ayam Tumis Pedas Manis,Tidak ada,Ayam dan daging,Tidak,Goreng atau tumis,9
100,Ayam Kungpao,Tidak ada,Ayam dan daging,Tidak,Goreng atau tumis,9
101,Steak Ayam Brown Sauce ( Chicken Steak ),Tidak ada,Ayam dan daging,Tidak,Goreng atau tumis,9
102,Ayam Balado,Tidak ada,Ayam dan daging,Tidak,Goreng atau tumis,9
103,Ayam Saus Tiram,Tidak ada,Ayam dan daging,Tidak,Goreng atau tumis,9
104,Ayam Popcorn,Tidak ada,Ayam dan daging,Tidak,Goreng atau tumis,9
105,Kikil Sapi Oseng Cabe Hijau,Tidak ada,Ayam dan daging,Tidak,Goreng atau tumis,9
106,Ayam Rica-Rica,Tidak ada,Ayam dan daging,Tidak,Goreng atau tumis,9
107,Ayam Kecap Padang,Tidak ada,Ayam dan daging,Tidak,Goreng atau tumis,9
108,Ayam Cabe Ijo,Tidak ada,Ayam dan daging,Tidak,Goreng atau tumis,9
109,Ayam Goreng Lengkuas,Tidak ada,Ayam dan daging,Tidak,Goreng atau tumis,9
110,Ayam Suwir Pedas Bali,Tidak ada,Ayam dan daging,Tidak,Goreng atau tumis,9
111,Ayam Goreng Kecap,Tidak ada,Ayam dan daging,Tidak,Goreng atau tumis,9
112,Beef Yakiniku,Tidak ada,Ayam dan daging,Tidak,Goreng atau tumis,9
113,Ayam Serundeng,Tidak ada,Ayam dan daging,Tidak,Goreng atau tumis,9
114,Krengsengan Kambing,Tidak ada,Ayam dan daging,Tidak,Goreng atau tumis,9
115,Ayam Goreng Padang,Tidak ada,Ayam dan daging,Tidak,Goreng atau tumis,9
116,Ayam Asam Manis,Tidak ada,Ayam dan daging,Tidak,Goreng atau tumis,9
117,Serundeng Daging,Tidak ada,Ayam dan daging,Tidak,Goreng atau tumis,9
118,Oseng Mercon,Tidak ada,Ayam dan daging,Tidak,Goreng atau tumis,9
119,Burung Puyuh Bakar,Tidak ada,Lainnya,Tidak,Panggang atau bakar,34
120,Dangkot Ayam,Tidak ada,Ayam dan daging,Tidak,Rebus atau kukus,11
121,Ayam Bumbu Merah,Tidak ada,Ayam dan daging,Tidak,Rebus atau kukus,11
122,Ayam Rujak Tanpa Santan,Tidak ada,Ayam dan daging,Tidak,Rebus atau kukus,11
123,Asam Pedas (Padeh) Daging,Tidak ada,Ayam dan daging,Tidak,Rebus atau kukus,11
124,Tongseng Kambing Tanpa Santan,Tidak ada,Ayam dan daging,Tidak,Rebus atau kukus,11
125,Saksang Ayam,Tidak ada,Ayam dan daging,Tidak,Rebus atau kukus,11
126,Ayam Kecap,Tidak ada,Ayam dan daging,Tidak,Rebus atau kukus,11
127,Dumpling Ayam Kukus,Tidak ada,Ayam dan daging,Tidak,Rebus atau kukus,11
128,Ayam Kuah Hitam,Tidak ada,Ayam dan daging,Tidak,Rebus atau kukus,11
129,Ayam Kecap Kuah,Tidak ada,Ayam dan daging,Tidak,Rebus atau kukus,11
130,Ayam Kecap Pedas,Tidak ada,Ayam dan daging,Tidak,Rebus atau kukus,11
131,Ayam Bumbu Rajang (Khas Lombok),Tidak ada,Ayam dan daging,Tidak,Rebus atau kukus,11
132,Tum Ayam,Tidak ada,Ayam dan daging,Tidak,Rebus atau kukus,11
133,Ayam Kecap Jahe,Tidak ada,Ayam dan daging,Tidak,Rebus atau kukus,11
134,Daging Bumbu Bali,Tidak ada,Ayam dan daging,Tidak,Rebus atau kukus,11
135,Ayam Kare Jawa,Tidak ada,Ayam dan daging,Tidak,Rebus atau kukus,11
136,Kalio Daging Sapi,Tidak ada,Ayam dan daging,Tidak,Rebus atau kukus,11
137,Ayam Rebus Bumbu,Tidak ada,Ayam dan daging,Tidak,Rebus atau kukus,11
138,Pallu Basa,Tidak ada,Ayam dan daging,Tidak,Rebus atau kukus,11
139,Kalio Ayam,Tidak ada,Ayam dan daging,Tidak,Rebus atau kukus,11
140,Gadon Daging,Tidak ada,Ayam dan daging,Tidak,Rebus atau kukus,11
141,Gulai Iga Sapi,Tidak ada,Ayam dan daging,Tidak,Rebus atau kukus,11
142,Ayam Lodho,Tidak ada,Ayam dan daging,Tidak,Rebus atau kukus,11
143,Pindang Daging Kudus,Tidak ada,Ayam dan daging,Tidak,Rebus atau kukus,11
144,Galantin Ayam,Tidak ada,Ayam dan daging,Tidak,Rebus atau kukus,11
145,Gulai Ayam Padang,Tidak ada,Ayam dan daging,Tidak,Rebus atau kukus,11
146,Rendang Ayam,Tidak ada,Ayam dan daging,Tidak,Rebus atau kukus,11
147,Semur Hati Ampela Ayam,Tidak ada,Ayam dan daging,Tidak,Rebus atau kukus,11
148,Opor Ayam Putih,Tidak ada,Ayam dan daging,Tidak,Rebus atau kukus,11
149,Galantin Daging Sapi,Tidak ada,Ayam dan daging,Tidak,Rebus atau kukus,11
150,Rendang Daging Sapi Padang,Tidak ada,Ayam dan daging,Tidak,Rebus atau kukus,11
151,Chicken (Ayam) Teriyaki,Tidak ada,Ayam dan daging,Tidak,Rebus atau kukus,11
152,Ayam Betutu,Tidak ada,Ayam dan daging,Tidak,Rebus atau kukus,11
153,Beef Daging Teriyaki,Tidak ada,Ayam dan daging,Tidak,Rebus atau kukus,11
154,Ayam Pop,Tidak ada,Ayam dan daging,Tidak,Rebus atau kukus,11
155,Tongseng Ayam,Tidak ada,Ayam dan daging,Tidak,Rebus atau kukus,11
156,Semur Daging Sapi,Tidak ada,Ayam dan daging,Tidak,Rebus atau kukus,11
157,Tongseng Sapi,Tidak ada,Ayam dan daging,Tidak,Rebus atau kukus,11
158,Rendang Daging Sapi (Asli Minang),Tidak ada,Ayam dan daging,Tidak,Rebus atau kukus,11
159,Gulai Kambing,Tidak ada,Ayam dan daging,Tidak,Rebus atau kukus,11
160,Pepes Ayam,Tidak ada,Ayam dan daging,Tidak,Rebus atau kukus,11
161,Ceker Ayam Pedas,Tidak ada,Ayam dan daging,Tidak,Rebus atau kukus,11
162,Semur Ayam,Tidak ada,Ayam dan daging,Tidak,Rebus atau kukus,11
163,Rabeg Daging Sapi,Tidak ada,Ayam dan daging,Tidak,Rebus atau kukus,11
164,Daging Malbi Semur,Tidak ada,Ayam dan daging,Tidak,Rebus atau kukus,11
165,Dendeng Ragi,Tidak ada,Ayam dan daging,Tidak,Rebus atau kukus,11
166,Ayam Bumbu Rujak Kuah,Tidak ada,Ayam dan daging,Tidak,Rebus atau kukus,11
167,Ceker Ayam Mercon,Tidak ada,Ayam dan daging,Tidak,Rebus atau kukus,11
168,Dendeng Batokok,Tidak ada,Ayam dan daging,Tidak,Rebus atau kukus,11
169,Gulai Kikil (Tunjang),Tidak ada,Ayam dan daging,Tidak,Rebus atau kukus,11
170,Opor Ayam Kuning,Tidak ada,Ayam dan daging,Tidak,Rebus atau kukus,11
171,Semur Bola Bola Daging,Tidak ada,Ayam dan daging,Tidak,Rebus atau kukus,11
172,Kari Ayam,Tidak ada,Ayam dan daging,Tidak,Rebus atau kukus,11
173,Rendang Bola Bola Daging,Tidak ada,Ayam dan daging,Tidak,Rebus atau kukus,11
174,Sayur Krecek,Tidak ada,Ayam dan daging,Tidak,Rebus atau kukus,11
175,Sop Ayam Suwir,Tidak ada,Ayam dan daging,Tidak,Rebus atau kukus,11
176,Sop Konro,Tidak ada,Ayam dan daging,Tidak,Rebus atau kukus,11
177,Sop Buntut,Tidak ada,Ayam dan daging,Tidak,Rebus atau kukus,11
178,Sup Kacang Merah Daging Sapi,Tidak ada,Ayam dan daging,Tidak,Rebus atau kukus,11
179,Sop Iga Sapi,Tidak ada,Ayam dan daging,Tidak,Rebus atau kukus,11
180,Sop Ayam Kampung,Tidak ada,Ayam dan daging,Tidak,Rebus atau kukus,11
181,Sop Kambing,Tidak ada,Ayam dan daging,Tidak,Rebus atau kukus,11
182,Pempek Ayam,"Tepung, Mie, dan Pasta",Ayam dan daging,Tidak,Rebus atau kukus,91
183,Bakso Ayam,"Tepung, Mie, dan Pasta",Ayam dan daging,Tidak,Rebus atau kukus,91
184,Jajangmyeon,"Tepung, Mie, dan Pasta",Ayam dan daging,Tidak,Rebus atau kukus,91
185,Mie Tulang Bandung,"Tepung, Mie, dan Pasta",Ayam dan daging,Tidak,Rebus atau kukus,91
186,Ramen,"Tepung, Mie, dan Pasta",Ayam dan daging,Tidak,Rebus atau kukus,91
187,Mie Korea Ramyeon,"Tepung, Mie, dan Pasta",Ayam dan daging,Tidak,Rebus atau kukus,91
188,Mie Pangsit,"Tepung, Mie, dan Pasta",Ayam dan daging,Tidak,Rebus atau kukus,91
189,Bakso Mercon,"Tepung, Mie, dan Pasta",Ayam dan daging,Tidak,Rebus atau kukus,91
190,Bakso Aci Tulang Rangu,"Tepung, Mie, dan Pasta",Ayam dan daging,Tidak,Rebus atau kukus,91
191,Bakso Sapi (Pentol Daging Asli),"Tepung, Mie, dan Pasta",Ayam dan daging,Tidak,Rebus atau kukus,91
192,Bakso Solo,"Tepung, Mie, dan Pasta",Ayam dan daging,Tidak,Rebus atau kukus,91
193,Soto Babat,"Tepung, Mie, dan Pasta",Ayam dan daging,Tidak,Rebus atau kukus,91
194,Cream Soup Ayam,"Tepung, Mie, dan Pasta",Ayam dan daging,Tidak,Rebus atau kukus,91
195,Soto Tangkar,"Tepung, Mie, dan Pasta",Ayam dan daging,Tidak,Rebus atau kukus,91
196,Bakso Malang,"Tepung, Mie, dan Pasta",Ayam dan daging,Tidak,Rebus atau kukus,91
197,Bakso Urat,"Tepung, Mie, dan Pasta",Ayam dan daging,Tidak,Rebus atau kukus,91
198,Soto Ayam Santan Medan,"Tepung, Mie, dan Pasta",Ayam dan daging,Tidak,Rebus atau kukus,91
199,Soto Mie Bogor,"Tepung, Mie, dan Pasta",Ayam dan daging,Tidak,Rebus atau kukus,91
200,Seblak Basah Bandung,"Tepung, Mie, dan Pasta",Ayam dan daging,Tidak,Rebus atau kukus,91
201,Bakso Aci,"Tepung, Mie, dan Pasta",Ayam dan daging,Tidak,Rebus atau kukus,91
202,Cilok Isi Kuah,"Tepung, Mie, dan Pasta",Ayam dan daging,Tidak,Rebus atau kukus,91
203,Ngohiong Ayam,"Tepung, Mie, dan Pasta",Ayam dan daging,Tidak,Goreng atau tumis,89
204,Ayam Geprek Jogja,"Tepung, Mie, dan Pasta",Ayam dan daging,Tidak,Goreng atau tumis,89
205,Ayam Karage,"Tepung, Mie, dan Pasta",Ayam dan daging,Tidak,Goreng atau tumis,89
206,Nugget Ayam,"Tepung, Mie, dan Pasta",Ayam dan daging,Tidak,Goreng atau tumis,89
207,Ayam Goreng Tepung,"Tepung, Mie, dan Pasta",Ayam dan daging,Tidak,Goreng atau tumis,89
208,Chicken Katsu,"Tepung, Mie, dan Pasta",Ayam dan daging,Tidak,Goreng atau tumis,89
209,Sempol Ayam,"Tepung, Mie, dan Pasta",Ayam dan daging,Tidak,Goreng atau tumis,89
210,Mie Tiaw Goreng Ayam,"Tepung, Mie, dan Pasta",Ayam dan daging,Tidak,Goreng atau tumis,89
211,Pangsit Goreng,"Tepung, Mie, dan Pasta",Ayam dan daging,Tidak,Goreng atau tumis,89
212,Sosis Solo,"Tepung, Mie, dan Pasta",Ayam dan daging,Tidak,Goreng atau tumis,89
213,Roti Isi Daging,"Tepung, Mie, dan Pasta",Ayam dan daging,Tidak,Goreng atau tumis,89
214,Cibay Pedas,"Tepung, Mie, dan Pasta",Ayam dan daging,Tidak,Goreng atau tumis,89
215,Samosa,"Tepung, Mie, dan Pasta",Ayam dan daging,Tidak,Goreng atau tumis,89
216,Rica Rica Bebek,Tidak ada,Lainnya,Tidak,Rebus atau kukus,35
217,Tim Telur Daging,Tidak ada,Lainnya,Tidak,Rebus atau kukus,35
218,Terik Daging Tahu Tempe,Tidak ada,Lainnya,Tidak,Rebus atau kukus,35
219,Gulai Cumi Isi Telur,Tidak ada,Lainnya,Tidak,Rebus atau kukus,35
220,Semur Jengkol Betawi,Tidak ada,Lainnya,Tidak,Rebus atau kukus,35
221,Rendang Jengkol,Tidak ada,Lainnya,Tidak,Rebus atau kukus,35
222,Puding Chocolatos,Tidak ada,Lainnya,Tidak,Rebus atau kukus,35
223,Panna Cotta Strawberry,Tidak ada,Lainnya,Tidak,Rebus atau kukus,35
224,Puding Alpukat,Tidak ada,Lainnya,Tidak,Rebus atau kukus,35
225,Puding Mozaik,Tidak ada,Lainnya,Tidak,Rebus atau kukus,35
226,Puding Coklat Susu,Tidak ada,Lainnya,Tidak,Rebus atau kukus,35
227,Puding Buah Naga,Tidak ada,Lainnya,Tidak,Rebus atau kukus,35
228,Puding Kelapa Muda,Tidak ada,Lainnya,Tidak,Rebus atau kukus,35
229,Puding Pepaya,Tidak ada,Lainnya,Tidak,Rebus atau kukus,35
230,Silky Puding,Tidak ada,Lainnya,Tidak,Rebus atau kukus,35
231,Puding Oreo,Tidak ada,Lainnya,Tidak,Rebus atau kukus,35
232,Puding Strawberry,Tidak ada,Lainnya,Tidak,Rebus atau kukus,35
233,Puding Sutra,Tidak ada,Lainnya,Tidak,Rebus atau kukus,35
234,Puding Casablanca Pandan Coklat,Tidak ada,Lainnya,Tidak,Rebus atau kukus,35
235,Puding Karamel (Caramel Custard Pudding),Tidak ada,Lainnya,Tidak,Rebus atau kukus,35
236,Puding Regal Kopi,Tidak ada,Lainnya,Tidak,Rebus atau kukus,35
237,Puding Labu,Tidak ada,Lainnya,Tidak,Rebus atau kukus,35
238,Puding Susu,Tidak ada,Lainnya,Tidak,Rebus atau kukus,35
239,Chicken Basil Thai,Tidak ada,Ayam dan daging,Ya,Goreng atau tumis,13
240,Tumis Ayam Cincang Nanas Paprika,Tidak ada,Ayam dan daging,Ya,Goreng atau tumis,13
241,Sayap Ayam Isi,Tidak ada,Ayam dan daging,Ya,Goreng atau tumis,13
242,Tumis Daging Sapi Cabe Ijo,Tidak ada,Ayam dan daging,Ya,Goreng atau tumis,13
243,Tumis Buncis Daging Giling,Tidak ada,Ayam dan daging,Ya,Goreng atau tumis,13
244,Ayam Sambal Matah,Tidak ada,Ayam dan daging,Ya,Goreng atau tumis,13
245,Daging Sapi Paprika Lada Hitam,Tidak ada,Ayam dan daging,Ya,Goreng atau tumis,13
246,Nasi Jinggo,Beras dan olahannya,Lainnya,Tidak,Lainnya,72
247,Nasi Tomat,Beras dan olahannya,Lainnya,Tidak,Lainnya,72
248,Nasi Kapau,Beras dan olahannya,Lainnya,Tidak,Lainnya,72
249,Loco Moco,Beras dan olahannya,Lainnya,Tidak,Lainnya,72
250,Rice Ball Minion,Beras dan olahannya,Lainnya,Tidak,Lainnya,72
251,Nasi Uduk Betawi Komplit,Beras dan olahannya,Lainnya,Tidak,Lainnya,72
252,Nasi Timbel Komplit,Beras dan olahannya,Lainnya,Tidak,Lainnya,72
253,Bubur Ayam Quaker Oat,Lainnya,Ayam dan daging,Tidak,Rebus atau kukus,131
254,Kari Kambing,Lainnya,Ayam dan daging,Tidak,Rebus atau kukus,131
255,Soto Kuning Bogor,Lainnya,Ayam dan daging,Tidak,Rebus atau kukus,131
256,MPASI 6 Bulan (Bubur Kabocha),Lainnya,Ayam dan daging,Tidak,Rebus atau kukus,131
257,Ayam Goreng Oatmeal,Lainnya,Ayam dan daging,Tidak,Goreng atau tumis,129
258,Gore Gore,Lainnya,Ayam dan daging,Tidak,Goreng atau tumis,129
259,Kentang Daging Cincang,Lainnya,Ayam dan daging,Tidak,Goreng atau tumis,129
260,Perkedel Daging,Lainnya,Ayam dan daging,Tidak,Goreng atau tumis,129
261,Hotang (Hotdog Kentang) / Sostang (Sosis Kentang),Lainnya,Ayam dan daging,Tidak,Goreng atau tumis,129
262,Timus Ubi,Lainnya,Ayam dan daging,Tidak,Goreng atau tumis,129
263,Burrito Ayam,"Tepung, Mie, dan Pasta",Ayam dan daging,Ya,Panggang atau bakar,94
264,Hamburger Daging,"Tepung, Mie, dan Pasta",Ayam dan daging,Ya,Panggang atau bakar,94
265,Pizza Daging Sapi,"Tepung, Mie, dan Pasta",Ayam dan daging,Ya,Panggang atau bakar,94
266,Bakso Keju,"Tepung, Mie, dan Pasta",Lainnya,Ya,Rebus atau kukus,119
267,Gyoza,"Tepung, Mie, dan Pasta",Lainnya,Ya,Rebus atau kukus,119
268,Siomay Ayam Udang Dimsum,"Tepung, Mie, dan Pasta",Lainnya,Ya,Rebus atau kukus,119
269,Soun Kuah,"Tepung, Mie, dan Pasta",Lainnya,Ya,Rebus atau kukus,119
270,Bihun Kuah,"Tepung, Mie, dan Pasta",Lainnya,Ya,Rebus atau kukus,119
271,Kwetiau Kuah,"Tepung, Mie, dan Pasta",Lainnya,Ya,Rebus atau kukus,119
272,Ayam Bakar Lumajang,Tidak ada,Ayam dan daging,Ya,Panggang atau bakar,14
273,Ayam Panggang Pecel,Tidak ada,Ayam dan daging,Ya,Panggang atau bakar,14
274,Sepat Ayam,Tidak ada,Ayam dan daging,Ya,Panggang atau bakar,14
275,Nasi Briyani Ayam,Beras dan olahannya,Ayam dan daging,Ya,Rebus atau kukus,55
276,Rujak Cingur,Beras dan olahannya,Ayam dan daging,Ya,Rebus atau kukus,55
277,Ayam Kodok,Tidak ada,Ayam dan daging,Tidak,Lainnya,8
278,Dendeng Balado,Tidak ada,Ayam dan daging,Tidak,Lainnya,8
279,Empal Gepuk,Tidak ada,Ayam dan daging,Tidak,Lainnya,8
280,Ayam Hainan,Tidak ada,Ayam dan daging,Tidak,Lainnya,8
281,Tahu Campur,Beras dan olahannya,"Tahu, tempe, dan telur",Ya,Rebus atau kukus,71
282,Tahu Lontong,Beras dan olahannya,"Tahu, tempe, dan telur",Ya,Rebus atau kukus,71
283,Kupat Tahu Magelang,Beras dan olahannya,"Tahu, tempe, dan telur",Ya,Rebus atau kukus,71
284,Lontong Sayur Padang,Beras dan olahannya,"Tahu, tempe, dan telur",Ya,Rebus atau kukus,71
285,Nasi Bebek,Beras dan olahannya,Lainnya,Ya,Goreng atau tumis,77
286,Siomay Udang Kuah Kaldu,Lainnya,Ikan dan Seafood,Tidak,Rebus atau kukus,139
287,Batagor Kuah,"Tepung, Mie, dan Pasta",Lainnya,Ya,Goreng atau tumis,117
288,Capcay Goreng Jawa,"Tepung, Mie, dan Pasta",Lainnya,Ya,Goreng atau tumis,117
289,Nugget Sayur,"Tepung, Mie, dan Pasta",Lainnya,Ya,Goreng atau tumis,117
290,Soun Goreng,"Tepung, Mie, dan Pasta",Lainnya,Ya,Goreng atau tumis,117
291,Bihun Goreng Isi Special,"Tepung, Mie, dan Pasta",Lainnya,Ya,Goreng atau tumis,117
